SNO	Name	Type	Event type
448436	被缚的萨满	Event	None
448442	被缚的萨满	Event	None
448457	被缚的萨满	Event	None
448469	被缚的萨满	Event	None
448478	被缚的萨满	Event	None
445799	悬赏任务：清理冰窟	Bounty	None
447218	悬赏任务：被诅咒的永恒森林	Bounty	None
447419	悬赏任务：被诅咒的永恒宝箱	Bounty	None
445851	悬赏任务：消灭卡希克	Bounty	TimedDungeon
436269	悬赏任务：诅咒城郭	Bounty	None
436284	悬赏任务：三大守护者	Bounty	None
436267	悬赏任务：诅咒要塞	Bounty	None
436280	悬赏任务：最后的野蛮人	Bounty	None
436282	悬赏任务：祭塔之王	Bounty	None
436271	悬赏任务：消灭塔拉	Bounty	None
436274	悬赏任务：消灭柯雷伊和萨马伊	Bounty	None
436276	悬赏任务：消灭加兰	Bounty	None
436278	悬赏任务：消灭阿莱图	Bounty	None
447945	悬赏任务：黑暗国王的遗产	Bounty	None
448150	悬赏任务：黑暗国王的遗产	Bounty	None
448204	悬赏任务：黑暗国王的遗产	Bounty	None
448312	悬赏任务：黑暗国王的遗产	Bounty	None
448258	悬赏任务：黑暗国王的遗产	Bounty	None
447911	悬赏任务：被缚的萨满	Bounty	None
448171	悬赏任务：被缚的萨满	Bounty	None
448224	悬赏任务：被缚的萨满	Bounty	None
448332	悬赏任务：被缚的萨满	Bounty	None
448278	悬赏任务：被缚的萨满	Bounty	None
445856	悬赏任务：诅咒圣坛	Bounty	None
448159	悬赏任务：诅咒圣坛	Bounty	None
448212	悬赏任务：诅咒圣坛	Bounty	None
448320	悬赏任务：诅咒圣坛	Bounty	None
448266	悬赏任务：诅咒圣坛	Bounty	None
448127	悬赏任务：肆虐的掘地魔	Bounty	None
448185	悬赏任务：肆虐的掘地魔	Bounty	None
448238	悬赏任务：肆虐的掘地魔	Bounty	None
448346	悬赏任务：肆虐的掘地魔	Bounty	None
448292	悬赏任务：肆虐的掘地魔	Bounty	None
446370	悬赏任务：被缚的萨满	Bounty	None
448173	悬赏任务：被缚的萨满	Bounty	None
448226	悬赏任务：被缚的萨满	Bounty	None
448334	悬赏任务：被缚的萨满	Bounty	None
448280	悬赏任务：被缚的萨满	Bounty	None
448105	悬赏任务：诅咒圣坛	Bounty	None
448161	悬赏任务：诅咒圣坛	Bounty	None
448214	悬赏任务：诅咒圣坛	Bounty	None
448322	悬赏任务：诅咒圣坛	Bounty	None
448268	悬赏任务：诅咒圣坛	Bounty	None
444433	悬赏任务：黑暗国王的遗产	Bounty	None
448153	悬赏任务：黑暗国王的遗产	Bounty	None
448206	悬赏任务：黑暗国王的遗产	Bounty	None
448314	悬赏任务：黑暗国王的遗产	Bounty	None
448260	悬赏任务：黑暗国王的遗产	Bounty	None
448109	悬赏任务：诅咒圣坛	Bounty	None
448163	悬赏任务：诅咒圣坛	Bounty	None
448216	悬赏任务：诅咒圣坛	Bounty	None
448324	悬赏任务：诅咒圣坛	Bounty	None
448270	悬赏任务：诅咒圣坛	Bounty	None
448100	悬赏任务：黑暗国王的遗产	Bounty	None
448155	悬赏任务：黑暗国王的遗产	Bounty	None
448208	悬赏任务：黑暗国王的遗产	Bounty	None
448316	悬赏任务：黑暗国王的遗产	Bounty	None
448262	悬赏任务：黑暗国王的遗产	Bounty	None
448119	悬赏任务：被缚的萨满	Bounty	None
448175	悬赏任务：被缚的萨满	Bounty	None
448228	悬赏任务：被缚的萨满	Bounty	None
448336	悬赏任务：被缚的萨满	Bounty	None
448282	悬赏任务：被缚的萨满	Bounty	None
448112	悬赏任务：诅咒圣坛	Bounty	None
448165	悬赏任务：诅咒圣坛	Bounty	None
448218	悬赏任务：诅咒圣坛	Bounty	None
448326	悬赏任务：诅咒圣坛	Bounty	None
448272	悬赏任务：诅咒圣坛	Bounty	None
446557	悬赏任务：肆虐的掘地魔	Bounty	None
448183	悬赏任务：肆虐的掘地魔	Bounty	None
448236	悬赏任务：肆虐的掘地魔	Bounty	None
448344	悬赏任务：肆虐的掘地魔	Bounty	None
448290	悬赏任务：肆虐的掘地魔	Bounty	None
448103	悬赏任务：黑暗国王的遗产	Bounty	None
448157	悬赏任务：黑暗国王的遗产	Bounty	None
448210	悬赏任务：黑暗国王的遗产	Bounty	None
448318	悬赏任务：黑暗国王的遗产	Bounty	None
448264	悬赏任务：黑暗国王的遗产	Bounty	None
448121	悬赏任务：被缚的萨满	Bounty	None
448177	悬赏任务：被缚的萨满	Bounty	None
448230	悬赏任务：被缚的萨满	Bounty	None
448338	悬赏任务：被缚的萨满	Bounty	None
448284	悬赏任务：被缚的萨满	Bounty	None
448114	悬赏任务：诅咒圣坛	Bounty	None
448167	悬赏任务：诅咒圣坛	Bounty	None
448220	悬赏任务：诅咒圣坛	Bounty	None
448328	悬赏任务：诅咒圣坛	Bounty	None
448274	悬赏任务：诅咒圣坛	Bounty	None
448125	悬赏任务：肆虐的掘地魔	Bounty	None
448181	悬赏任务：肆虐的掘地魔	Bounty	None
448234	悬赏任务：肆虐的掘地魔	Bounty	None
448342	悬赏任务：肆虐的掘地魔	Bounty	None
448288	悬赏任务：肆虐的掘地魔	Bounty	None
448123	悬赏任务：被缚的萨满	Bounty	None
448179	悬赏任务：被缚的萨满	Bounty	None
448232	悬赏任务：被缚的萨满	Bounty	None
448340	悬赏任务：被缚的萨满	Bounty	None
448286	悬赏任务：被缚的萨满	Bounty	None
448116	悬赏任务：诅咒圣坛	Bounty	None
448169	悬赏任务：诅咒圣坛	Bounty	None
448222	悬赏任务：诅咒圣坛	Bounty	None
448330	悬赏任务：诅咒圣坛	Bounty	None
448276	悬赏任务：诅咒圣坛	Bounty	None
448489	悬赏任务：黑暗国王的遗产	Bounty	None
448558	悬赏任务：黑暗国王的遗产	Bounty	None
448613	悬赏任务：黑暗国王的遗产	Bounty	None
448667	悬赏任务：黑暗国王的遗产	Bounty	None
448516	悬赏任务：被缚的萨满	Bounty	None
448578	悬赏任务：被缚的萨满	Bounty	None
448633	悬赏任务：被缚的萨满	Bounty	None
448687	悬赏任务：被缚的萨满	Bounty	None
448501	悬赏任务：诅咒圣坛	Bounty	None
448566	悬赏任务：诅咒圣坛	Bounty	None
448621	悬赏任务：诅咒圣坛	Bounty	None
448675	悬赏任务：诅咒圣坛	Bounty	None
448530	悬赏任务：肆虐的掘地魔	Bounty	None
448592	悬赏任务：肆虐的掘地魔	Bounty	None
448647	悬赏任务：肆虐的掘地魔	Bounty	None
448701	悬赏任务：肆虐的掘地魔	Bounty	None
448518	悬赏任务：被缚的萨满	Bounty	None
448580	悬赏任务：被缚的萨满	Bounty	None
448635	悬赏任务：被缚的萨满	Bounty	None
448689	悬赏任务：被缚的萨满	Bounty	None
448503	悬赏任务：诅咒圣坛	Bounty	None
448568	悬赏任务：诅咒圣坛	Bounty	None
448623	悬赏任务：诅咒圣坛	Bounty	None
448677	悬赏任务：诅咒圣坛	Bounty	None
448492	悬赏任务：黑暗国王的遗产	Bounty	None
448560	悬赏任务：黑暗国王的遗产	Bounty	None
448615	悬赏任务：黑暗国王的遗产	Bounty	None
448669	悬赏任务：黑暗国王的遗产	Bounty	None
448506	悬赏任务：诅咒圣坛	Bounty	None
448570	悬赏任务：诅咒圣坛	Bounty	None
448625	悬赏任务：诅咒圣坛	Bounty	None
448679	悬赏任务：诅咒圣坛	Bounty	None
448495	悬赏任务：黑暗国王的遗产	Bounty	None
448562	悬赏任务：黑暗国王的遗产	Bounty	None
448617	悬赏任务：黑暗国王的遗产	Bounty	None
448671	悬赏任务：黑暗国王的遗产	Bounty	None
448520	悬赏任务：被缚的萨满	Bounty	None
448582	悬赏任务：被缚的萨满	Bounty	None
448637	悬赏任务：被缚的萨满	Bounty	None
448691	悬赏任务：被缚的萨满	Bounty	None
448508	悬赏任务：诅咒圣坛	Bounty	None
448572	悬赏任务：诅咒圣坛	Bounty	None
448627	悬赏任务：诅咒圣坛	Bounty	None
448681	悬赏任务：诅咒圣坛	Bounty	None
448528	悬赏任务：肆虐的掘地魔	Bounty	None
448590	悬赏任务：肆虐的掘地魔	Bounty	None
448645	悬赏任务：肆虐的掘地魔	Bounty	None
448699	悬赏任务：肆虐的掘地魔	Bounty	None
448498	悬赏任务：黑暗国王的遗产	Bounty	None
448564	悬赏任务：黑暗国王的遗产	Bounty	None
448619	悬赏任务：黑暗国王的遗产	Bounty	None
448673	悬赏任务：黑暗国王的遗产	Bounty	None
448522	悬赏任务：被缚的萨满	Bounty	None
448584	悬赏任务：被缚的萨满	Bounty	None
448639	悬赏任务：被缚的萨满	Bounty	None
448693	悬赏任务：被缚的萨满	Bounty	None
448511	悬赏任务：诅咒圣坛	Bounty	None
448574	悬赏任务：诅咒圣坛	Bounty	None
448629	悬赏任务：诅咒圣坛	Bounty	None
448683	悬赏任务：诅咒圣坛	Bounty	None
448526	悬赏任务：肆虐的掘地魔	Bounty	None
448588	悬赏任务：肆虐的掘地魔	Bounty	None
448643	悬赏任务：肆虐的掘地魔	Bounty	None
448697	悬赏任务：肆虐的掘地魔	Bounty	None
448524	悬赏任务：被缚的萨满	Bounty	None
448586	悬赏任务：被缚的萨满	Bounty	None
448641	悬赏任务：被缚的萨满	Bounty	None
448695	悬赏任务：被缚的萨满	Bounty	None
448513	悬赏任务：诅咒圣坛	Bounty	None
448576	悬赏任务：诅咒圣坛	Bounty	None
448631	悬赏任务：诅咒圣坛	Bounty	None
448685	悬赏任务：诅咒圣坛	Bounty	None
444877	悬赏任务：消灭肥汁	Bounty	None
445139	悬赏任务：诅咒林地	Bounty	TimedDungeon
445158	悬赏任务：诅咒林地	Bounty	TimedDungeon
445044	悬赏任务：束缚邪灵	Bounty	TimedDungeon
436965	悬赏任务：诅咒池塘	Bounty	None
444573	悬赏任务：鬼魂牢笼	Bounty	None
444702	悬赏任务：消灭法祖拉	Bounty	None
444397	悬赏任务：打断森林祷告	Bounty	None
428251	悬赏任务：消灭赫蒙顿	Bounty	TimedDungeon
433413	束缚邪恶	Event	TimedDungeon
447968	肆虐的掘地魔	Event	None
446546	肆虐的掘地魔	Event	None
448055	肆虐的掘地魔	Event	None
447947	黑暗国王的遗产	Event	None
444083	黑暗国王的遗产	Event	None
448024	黑暗国王的遗产	Event	None
448036	黑暗国王的遗产	Event	None
445858	诅咒圣坛	Event	None
447973	诅咒圣坛	Event	None
448001	诅咒圣坛	Event	None
448015	诅咒圣坛	Event	None
448032	诅咒圣坛	Event	None
448060	诅咒圣坛	Event	None
447908	被缚的萨满	Event	None
446360	被缚的萨满	Event	None
448007	被缚的萨满	Event	None
448028	被缚的萨满	Event	None
448049	被缚的萨满	Event	None
434358	鬼魂牢笼	Event	None
445906	被诅咒的永恒森林	Event	None
436288	奶牛灾乱	Event	TimedDungeon
439249	阿卜杜·哈兹尔的回归	Event	TimedDungeon
437703	深渊的诅咒宝箱	Event	None
434412	打断森林祷告	Event	TimedDungeon
444764		Unknown2	TimedDungeon
444766		Unknown2	TimedDungeon
447626		Unknown1	TimedDungeon
447631		Unknown3	TimedDungeon
447634	套装地下城	Unknown3	TimedDungeon
444918		Unknown2	TimedDungeon
444920		Unknown2	TimedDungeon
447886		Unknown1	TimedDungeon
447888		Unknown3	TimedDungeon
447890	套装地下城	Unknown3	TimedDungeon
444868		Unknown2	TimedDungeon
444870		Unknown2	TimedDungeon
447824		Unknown1	TimedDungeon
447826		Unknown3	TimedDungeon
447828	套装地下城	Unknown3	TimedDungeon
444828		Unknown2	TimedDungeon
444830		Unknown2	TimedDungeon
447082		Unknown1	TimedDungeon
447087		Unknown3	TimedDungeon
447084	套装地下城	Unknown3	TimedDungeon
444627		Unknown2	TimedDungeon
444629		Unknown2	TimedDungeon
448086		Unknown1	TimedDungeon
448088		Unknown3	TimedDungeon
448090	套装地下城	Unknown3	TimedDungeon
444716		Unknown2	TimedDungeon
444718		Unknown2	TimedDungeon
448881		Unknown1	TimedDungeon
448883		Unknown3	TimedDungeon
448885	套装地下城	Unknown3	TimedDungeon
445270		Unknown2	TimedDungeon
445272		Unknown2	TimedDungeon
447576		Unknown1	TimedDungeon
447578		Unknown3	TimedDungeon
449024	套装地下城	Unknown3	TimedDungeon
445244		Unknown2	TimedDungeon
445246		Unknown2	TimedDungeon
447076		Unknown1	TimedDungeon
447080		Unknown3	TimedDungeon
447078	套装地下城	Unknown3	TimedDungeon
445032		Unknown2	TimedDungeon
445029		Unknown2	TimedDungeon
449073		Unknown1	TimedDungeon
449075		Unknown3	TimedDungeon
449077	套装地下城	Unknown3	TimedDungeon
444986		Unknown2	TimedDungeon
444988		Unknown2	TimedDungeon
449080		Unknown1	TimedDungeon
449082		Unknown3	TimedDungeon
449084	套装地下城	Unknown3	TimedDungeon
445014		Unknown2	TimedDungeon
445016		Unknown2	TimedDungeon
447587		Unknown1	TimedDungeon
447592		Unknown3	TimedDungeon
449094	套装地下城	Unknown3	TimedDungeon
445056		Unknown2	TimedDungeon
445058		Unknown2	TimedDungeon
449096		Unknown1	TimedDungeon
449098		Unknown3	TimedDungeon
449100	套装地下城	Unknown3	TimedDungeon
445168		Unknown2	TimedDungeon
445170		Unknown2	TimedDungeon
449115		Unknown1	TimedDungeon
449117		Unknown3	TimedDungeon
449119	套装地下城	Unknown3	TimedDungeon
445219		Unknown2	TimedDungeon
445221		Unknown2	TimedDungeon
449128		Unknown1	TimedDungeon
449130		Unknown3	TimedDungeon
449132	套装地下城	Unknown3	TimedDungeon
445186		Unknown2	TimedDungeon
445188		Unknown2	TimedDungeon
447324		Unknown1	TimedDungeon
447326		Unknown3	TimedDungeon
449135	套装地下城	Unknown3	TimedDungeon
445204		Unknown2	TimedDungeon
445202		Unknown2	TimedDungeon
449137		Unknown1	TimedDungeon
449139		Unknown3	TimedDungeon
449141	套装地下城	Unknown3	TimedDungeon
445093		Unknown2	TimedDungeon
445095		Unknown2	TimedDungeon
449145		Unknown1	TimedDungeon
449147		Unknown3	TimedDungeon
449149	套装地下城	Unknown3	TimedDungeon
445148		Unknown2	TimedDungeon
445152		Unknown2	TimedDungeon
449161		Unknown1	TimedDungeon
449163		Unknown3	TimedDungeon
449165	套装地下城	Unknown3	TimedDungeon
445111		Unknown2	TimedDungeon
445113		Unknown2	TimedDungeon
449167		Unknown1	TimedDungeon
449169		Unknown3	TimedDungeon
449171	套装地下城	Unknown3	TimedDungeon
445077		Unknown2	TimedDungeon
445074		Unknown2	TimedDungeon
449173		Unknown1	TimedDungeon
449175		Unknown3	TimedDungeon
449177	套装地下城	Unknown3	TimedDungeon
444588		Unknown2	TimedDungeon
444591		Unknown2	TimedDungeon
449180		Unknown1	TimedDungeon
449182		Unknown3	TimedDungeon
449184	套装地下城	Unknown3	TimedDungeon
444040		Unknown2	TimedDungeon
444042		Unknown2	TimedDungeon
449186		Unknown1	TimedDungeon
449188		Unknown3	TimedDungeon
449190	套装地下城	Unknown3	TimedDungeon
444529		Unknown2	TimedDungeon
444531		Unknown2	TimedDungeon
449192		Unknown1	TimedDungeon
449194		Unknown3	TimedDungeon
449196	套装地下城	Unknown3	TimedDungeon
444961		Unknown2	TimedDungeon
444967		Unknown2	TimedDungeon
449198		Unknown1	TimedDungeon
449200		Unknown3	TimedDungeon
449202	套装地下城	Unknown3	TimedDungeon
87700	陨星	MainQuest	None
434097	三大守护者	Event	TimedDungeon
410369	虫标	Event	TimedDungeon
432383		Bounty	None
432293	悬赏任务：死灰复燃的三神教	Bounty	None
434378	悬赏任务：沃桑幸存者	Bounty	None
432784	悬赏任务：蛛后的点心	Bounty	None
430723	悬赏任务：调查圣殿骑士	Bounty	None
433005	悬赏任务：清理东部水渠	Bounty	None
433003	悬赏任务：清理西部水渠	Bounty	None
433017	悬赏任务：恶臭水道	Bounty	None
433009	悬赏任务：消灭古鲁尔	Bounty	None
433011	悬赏任务：消灭被诅咒的奥特兹	Bounty	None
433013	悬赏任务：消灭死亡针群	Bounty	None
433007	悬赏任务：消灭亚卡拉	Bounty	None
433025	悬赏任务：古老装置	Bounty	None
432334	悬赏任务：鲜血与钢铁	Bounty	None
433053	悬赏任务：邪教的囚徒	Bounty	None
433217	悬赏任务：失踪的巡逻兵	Bounty	None
433309	悬赏任务：恶魔大门	Bounty	None
433392	悬赏任务：投石器指挥	Bounty	None
433099	悬赏任务：痛苦的天使	Bounty	None
433422	悬赏任务：地狱传送门	Bounty	None
433339	悬赏任务：拉斯玛的礼物	Bounty	None
433256	悬赏任务：死亡之拥	Bounty	None
434220	诅咒城郭	Event	None
432803	祭塔之王	Event	None
434211	诅咒要塞	Event	None
435732	最后的野蛮人	Event	TimedDungeon
93684	力挽狂澜	MainQuest	None
78264	命运之交	MainQuest	None
72095	凯恩的遗踪	MainQuest	None
72801	被囚禁的天使	MainQuest	None
136656	返回新崔斯特姆	MainQuest	None
72061	黑暗国王的统治	MainQuest	None
203595	灵魂石中的响动	MainQuest	None
60836	豹人巢穴	Event	None
73236	沃桑的劫数	MainQuest	None
101750	攻城兽	MainQuest	None
331946		Challenge	Zapper
365120	火焰风暴	Event	TimedDungeon
257120	女巫	MainQuest	None
356988	赫拉迪姆骨匣	Event	TimedDungeon
356994	皇帝的礼物	Event	TimedDungeon
356996	要塞武库	Event	TimedDungeon
356999	高阶天堂的祝福	Event	TimedDungeon
357001	威斯特玛仓库	Event	TimedDungeon
269552	攻破要塞	MainQuest	None
356204	遗失已久的记忆	Event	TimedDungeon
343103	研究难题	Event	TimedDungeon
350532	沼泽兽宝藏	Event	TimedDungeon
289320	沼泽山之王	Event	None
289583	愚者之王	Event	None
368970	叛国的最终奖励	Event	None
375198	悬赏任务：诅咒白骨大厅	Bounty	None
375191	悬赏任务：诅咒庭院	Bounty	None
361345	悬赏任务：消灭乱疤巨腹	Bounty	None
361327	悬赏任务：消灭布拉鲁克·格里莫劳	Bounty	None
361341	悬赏任务：消灭卡奇队长	Bounty	None
361354	悬赏任务：消灭克莱格队长	Bounty	None
361336	悬赏任务：消灭大棒刚臂	Bounty	None
361339	悬赏任务：消灭召火天鬼	Bounty	None
361331	悬赏任务：消灭滑翼天鬼	Bounty	None
361343	悬赏任务：消灭基利安达摩特	Bounty	None
361334	悬赏任务：消灭莫瑞姆·棘颅	Bounty	None
361352	悬赏任务：消灭拉德·诺伊	Bounty	None
361320	悬赏任务：消灭拉古斯·格里莫劳	Bounty	None
361234	悬赏任务：消灭骷髅王	Bounty	None
349016	悬赏任务：众魂罐	Bounty	None
349020	悬赏任务：领主夫人的尸骨	Bounty	None
347095	悬赏任务：消灭数据挖掘者	Bounty	None
347097	悬赏任务：消灭掘墓者奥德尔	Bounty	None
347090	悬赏任务：消灭德卢瑞·布朗	Bounty	None
347092	悬赏任务：消灭棺材约翰·格汉姆	Bounty	None
347080	Bounty: Kill Lucious the Depraved	Bounty	None
345517	悬赏任务：清理先祖墓穴	Bounty	None
345520	悬赏任务：清理勇士之陵	Bounty	None
345505	悬赏任务：永恒之战	Bounty	None
345502	悬赏任务：先祖的最终战役	Bounty	None
347056	悬赏任务：消灭费克拉的鬼魂	Bounty	None
369251	悬赏任务：消灭加鲁什·瓦尔丹	Bounty	None
345507	悬赏任务：消灭格里斯迈	Bounty	None
347054	悬赏任务：消灭霍松·加伯	Bounty	None
369249	悬赏任务：消灭布罗内勋爵	Bounty	None
347065	悬赏任务：清理卡兹拉洞穴	Bounty	None
345496	悬赏任务：清理食腐魔洞穴	Bounty	None
365401	悬赏任务：诅咒磨坊	Bounty	None
347058	悬赏任务：雷斯一家	Bounty	None
347062	悬赏任务：遭袭的农场	Bounty	None
345500	悬赏任务：清理食腐鸟	Bounty	None
365381	悬赏任务：诅咒树林	Bounty	None
347060	悬赏任务：珍贵的矿石	Bounty	None
347070	悬赏任务：消灭冲锋兽	Bounty	None
347073	悬赏任务：消灭恐爪·跃行者	Bounty	None
369243	悬赏任务：消灭咆哮者	Bounty	None
369246	悬赏任务：消灭罪大恶极的克雷姆	Bounty	None
345498	悬赏任务：消灭梅尔麦克	Bounty	None
347077	TEMP Bounty	Bounty	None
347075	TEMP Bounty	Bounty	None
355276	悬赏任务：消灭石肠	Bounty	None
344547	悬赏任务：清理月亮部族洞穴	Bounty	None
344486	悬赏任务：贾巴德的复仇	Bounty	None
369763	悬赏任务：诅咒营地	Bounty	None
344482	悬赏任务：崩塌之塔	Bounty	None
344488	悬赏任务：被抢走的剑鞘	Bounty	None
344499	悬赏任务：消灭布拉斯·穿刺者	Bounty	None
344490	悬赏任务：消灭死亡召唤者卡德胡	Bounty	None
344493	TEMP Bounty	Bounty	None
344497	悬赏任务：消灭战士罗格鲁特	Bounty	None
344501	悬赏任务：消灭强大的罗扎克	Bounty	None
344503	悬赏任务：消灭红石	Bounty	None
344495	Bounty: Kill Skehlinrath	Bounty	None
350529	悬赏任务：药剂师的兄弟	Bounty	None
369257	悬赏任务：消灭赫鲁高·寻衅者	Bounty	None
367561	悬赏任务：消灭唤魔师杰泽布	Bounty	None
367559	悬赏任务：消灭恶毒的克莱伦	Bounty	None
369273	悬赏任务：消灭帕瑟普斯	Bounty	None
369253	悬赏任务：消灭可鄙的雷格瑞尔	Bounty	None
369271	悬赏任务：消灭西奥丁·死亡咏唱者	Bounty	None
369789	悬赏任务：诅咒火狱	Bounty	None
345546	悬赏任务：需要帮助的陌生人	Bounty	None
347005	TEMP Bounty	Bounty	None
347011	悬赏任务：消灭瘟疫战狂	Bounty	None
345544	悬赏任务：消灭碎颅·棒槌	Bounty	None
347023	悬赏任务：消灭断骨狂徒	Bounty	None
347032	悬赏任务：消灭屠夫	Bounty	None
345542	悬赏任务：消灭克拉苏斯·折磨者	Bounty	None
347025	悬赏任务：消灭邪教徒大审讯官	Bounty	None
347027	悬赏任务：消灭被折磨的加拉克	Bounty	None
349026	悬赏任务：消灭愚蠢的索特诺布	Bounty	None
347020	悬赏任务：消灭树拳木脑	Bounty	None
347030	悬赏任务：消灭典狱长	Bounty	None
449833	悬赏任务：消灭巴克斯图斯	Bounty	None
449839	悬赏任务：消灭波亚斯克	Bounty	None
449837	悬赏任务：消灭汉内斯	Bounty	None
449835	悬赏任务：消灭乔汉斯	Bounty	None
449391	悬赏任务：消灭朱维安	Bounty	None
449841	悬赏任务：消灭摩根·勒戴	Bounty	None
449389	悬赏任务：消灭斯帕萨里	Bounty	None
449380	悬赏任务：消灭沃伦	Bounty	None
369944	悬赏任务：诅咒地窖	Bounty	None
375201	悬赏任务：诅咒巢穴	Bounty	None
345860	TEMP Bounty	Bounty	None
345528	悬赏任务：消灭阿拉尼娅蛛后	Bounty	None
345862	悬赏任务：消灭库拉什·被唾弃者	Bounty	None
345526	悬赏任务：消灭拉斯林·寡妇制造者	Bounty	None
345524	悬赏任务：消灭毒液虫	Bounty	None
345522	悬赏任务：消灭剧毒的蜇洛比	Bounty	None
345488	悬赏任务：清理堕落者的洞穴	Bounty	None
369399	悬赏任务：消灭腐疫	Bounty	None
369404	悬赏任务：消灭荷鲁斯·黑夜追踪者	Bounty	None
345490	悬赏任务：消灭癞疥兽	Bounty	None
347099	悬赏任务：消灭米拉·埃蒙	Bounty	None
449864	悬赏任务：消灭特费尼	Bounty	None
346034	悬赏任务：消灭敲骨手	Bounty	None
347563	悬赏任务：消灭高阶邪教徒墨杜斯	Bounty	None
347565	悬赏任务：消灭传教士乔鲁姆	Bounty	None
347558	悬赏任务：消灭麦格妲	Bounty	None
347569	悬赏任务：消灭狠砸怪	Bounty	None
346036	悬赏任务：消灭唤魔师尚达尔	Bounty	None
347560	悬赏任务：消灭耶特	Bounty	None
346088	悬赏任务：清理掘地骇物的洞穴	Bounty	None
346086	悬赏任务：清理邪恶洞窟	Bounty	None
375264	悬赏任务：诅咒藏书馆	Bounty	None
346092	悬赏任务：消灭布拉戈	Bounty	None
346094	悬赏任务：消灭血羽	Bounty	None
354788	悬赏任务：消灭法圣密斯根	Bounty	None
347609	Bounty: Kill Nine Toads	Bounty	None
347638	悬赏任务：消灭帕祖祖	Bounty	None
347607	悬赏任务：消灭承受厄运的普拉加	Bounty	None
346090	悬赏任务：消灭莱哈	Bounty	None
358353	悬赏任务：消灭彼列	Bounty	None
347525	悬赏任务：清理热风洞窟	Bounty	None
369800	悬赏任务：诅咒岗哨	Bounty	None
369797	悬赏任务：诅咒城垛	Bounty	None
345954	悬赏任务：矿工的黄金	Bounty	None
347520	悬赏任务：豹人巢穴	Bounty	None
