id	name	english name	main category	iLvl	groups
1815807949	铁木盾	Ironwood Shield	shield	43	offhands,shield
1815807950	巨盾	Pavise	shield	47	offhands,shield
1815807951	骨盾	Bone Shield	shield	51	offhands,shield
1815807952	救星之盾	Savior	shield	53	offhands,shield
1815809035	角蝮盾	Aspis	shield	55	offhands,shield
1815809036	凸镜圆盾	Hoplon	shield	57	offhands,shield
1815809037	防御者之盾	Defender	shield	59	offhands,shield
1815809038	锯齿方盾	Scutum	shield	60	offhands,shield
1815809039	庇护之盾	Aegis	shield	61	offhands,shield
1815809040	恐惧之盾	Dread Shield	shield	62	offhands,shield
1815809041	神圣之盾	Sacred Shield	shield	63	offhands,shield
3959503201	防御者之盾	Defender	shield	59	offhands,shield
3960689122	锯齿方盾	Scutum	shield	60	offhands,shield
3961875043	庇护之盾	Aegis	shield	61	offhands,shield
3963060964	恐惧之盾	Dread Shield	shield	62	offhands,shield
3964246885	神圣之盾	Sacred Shield	shield	63	offhands,shield
1815809042	拉基斯守护盾牌	Rakkisgard Shield	shield	65	offhands,shield
1815809043	升灵之盾	Ascended Shield	shield	70	offhands,shield
4176712418	圣教军盾	Crusader Shield	crusadershield	1	crusadershield,offhands
4176712419	圣鳞盾	Sacred Scutum	crusadershield	6	crusadershield,offhands
4176712420	皇家盾	Royal Shield	crusadershield	11	crusadershield,offhands
4176712421	纹章斗盾	Heraldic Heater	crusadershield	16	crusadershield,offhands
4176712422	雕纹盾	Embossed Shield	crusadershield	21	crusadershield,offhands
4176712423	保卫者之盾	Protector Shield	crusadershield	25	crusadershield,offhands
4176712424	冠冕之盾	Crown Shield	crusadershield	28	crusadershield,offhands
4176713507	镀金盾	Gilded Shield	crusadershield	31	crusadershield,offhands
4176713508	墙盾	Wall Shield	crusadershield	35	crusadershield,offhands
4176713509	萨卡拉斗盾	Zakara Heater	crusadershield	39	crusadershield,offhands
4176713510	纹饰盾	Blazoned Shield	crusadershield	43	crusadershield,offhands
4176713511	纹铁盾	Chased Shield	crusadershield	47	crusadershield,offhands
4176713512	征服盾	Conquest Shield	crusadershield	51	crusadershield,offhands
4176713513	帝国斗盾	Imperial Kite	crusadershield	53	crusadershield,offhands
4176714596	正义防御者	Righteous Defender	crusadershield	55	crusadershield,offhands
4176714597	顽强守护者	Enduring Guardian	crusadershield	57	crusadershield,offhands
4176714598	狂热保卫者	Zealous Protector	crusadershield	59	crusadershield,offhands
4176714599	猛禽盾	Raptor Shield	crusadershield	60	crusadershield,offhands
4176714600	精钢徽盾	Adamantine Blason	crusadershield	61	crusadershield,offhands
4176714601	重盾	Heavy Shield	crusadershield	65	crusadershield,offhands
4176714602	坚定守护者	Stalwart Guardian	crusadershield	70	crusadershield,offhands
1539236300	箭袋	Quiver	quiver	8	offhands,quiver
1539236301	帆布箭袋	Canvas Quiver	quiver	12	offhands,quiver
1539236302	皮制箭袋	Leather Quiver	quiver	16	offhands,quiver
1539236303	狩猎箭袋	Hunting Quiver	quiver	22	offhands,quiver
1539236304	刺客箭袋	Assassin Quiver	quiver	27	offhands,quiver
1539237389	重型箭袋	Heavy Quiver	quiver	32	offhands,quiver
1539237390	倒刺箭袋	Barbed Quiver	quiver	37	offhands,quiver
1539237391	神圣箭袋	Hallowed Quiver	quiver	42	offhands,quiver
1539237392	追踪者箭袋	Stalker Quiver	quiver	47	offhands,quiver
1539237393	刃脊箭袋	Razorspine Quiver	quiver	51	offhands,quiver
1539238478	神射手箭袋	Deadeye Quiver	quiver	56	offhands,quiver
1539238479	骨牙箭袋	Bonetooth Quiver	quiver	59	offhands,quiver
1539238480	圣洁箭袋	Consecrated Quiver	quiver	60	offhands,quiver
1539238481	符文箭袋	Runic Quiver	quiver	61	offhands,quiver
1539238482	圣化箭袋	Sanctified Quiver	quiver	62	offhands,quiver
1539238483	拉基斯守护箭袋	Rakkisgard Quiver	quiver	65	offhands,quiver
1539238484	升灵箭袋	Ascended Quiver	quiver	70	offhands,quiver
1905179475	鹰眼法珠	Eagle Orb	source	8	offhands,source
1905179476	魔法书	Spellbook	source	12	offhands,source
1905179477	烟熏法球	Smoked Spheres	source	20	offhands,source
1905179478	诅咒头骨	Cursed Skull	source	28	offhands,source
2741380727	虚空之球	Nether Orb	source	32	offhands,source
1905180564	庇护法球	Sanctuary Globe	source	34	offhands,source
1905180565	恶魔书页	Fiendish Folio	source	40	offhands,source
1905180566	三元法球	Triad	source	46	offhands,source
1905180567	尖啸头骨	Screaming Skull	source	51	offhands,source
1905181653	聚能法球	Power Sphere	source	56	offhands,source
1905181654	法典	Codex	source	60	offhands,source
1905181655	环轨魔石	Orbit Stones	source	61	offhands,source
1905181656	神变巫妖	Demi Lich	source	62	offhands,source
1905181657	机关盒	Puzzle Box	source	65	offhands,source
1905181658	莫斯辰法球	Moschen Spheres	source	70	offhands,source
4052071828	玻璃星	Glass Star	helm	10	armors,helms,spiritstone
4052071829	观心镜	Thought Mirror	helm	12	armors,helms,spiritstone
4052071830	第三只眼	Third Eye	helm	20	armors,helms,spiritstone
4052071831	玛瑙石簇	Onyx Cluster	helm	27	armors,helms,spiritstone
574384344	冥想水晶	Meditation Crystal	helm	32	armors,helms,spiritstone
4052072917	日光石	Sunstone	helm	36	armors,helms,spiritstone
4052072918	三棱镜	Prism	helm	40	armors,helms,spiritstone
4052072919	先知薄片	Seer Shard	helm	46	armors,helms,spiritstone
4052072920	火岩钉	Igneous Studs	helm	52	armors,helms,spiritstone
4052074006	骄阳石	Solarius	helm	56	armors,helms,spiritstone
4052074007	念石	Meditator	helm	60	armors,helms,spiritstone
4052074008	幽灵视界	Ghost Sight	helm	61	armors,helms,spiritstone
4052074009	星冠	Star Crown	helm	62	armors,helms,spiritstone
4052074010	洞察灵石	Insight Stone	helm	65	armors,helms,spiritstone
4052074011	升灵灵石	Ascended Stone	helm	70	armors,helms,spiritstone
1755621630	流浪者小帽	Wanderer Hat	helm	10	armors,helms,wizardhat
1755621631	旅行面罩	Journey Mask	helm	12	armors,helms,wizardhat
1755621632	学者毡帽	Scholarly Fez	helm	20	armors,helms,wizardhat
1755621633	滥竽充数者的小帽	Charlatan Cap	helm	28	armors,helms,wizardhat
2100939138	法师头冠	Mage Crown	helm	32	armors,helms,wizardhat
1755622719	巫师遮阳帽	Conjurer Shade	helm	36	armors,helms,wizardhat
1755622720	秘士遮阳帽	Mystic Shade	helm	40	armors,helms,wizardhat
1755622721	导师小帽	Mentor Cap	helm	46	armors,helms,wizardhat
1755622722	旅者小帽	Traveler Hat	helm	51	armors,helms,wizardhat
1755623808	贤者小帽	Sage Hat	helm	56	armors,helms,wizardhat
1755623809	凶险面具	Sinister Mask	helm	60	armors,helms,wizardhat
1755623810	大法师头饰	Archmage Headpiece	helm	61	armors,helms,wizardhat
1755623811	长老帽	Elder Hat	helm	62	armors,helms,wizardhat
1755623812	维兹尔之帽	Vizier Hat	helm	65	armors,helms,wizardhat
1755623813	升灵头饰	Ascended Headpiece	helm	70	armors,helms,wizardhat
620034066	部族面具	Tribal Mask	helm	10	armors,helms,voodoomask
620034067	萨满面具	Shaman Mask	helm	12	armors,helms,voodoomask
620034068	酋长面具	Chieftain Mask	helm	20	armors,helms,voodoomask
620034069	灵魂面具	Spirit Mask	helm	28	armors,helms,voodoomask
3281255190	图腾面具	Totemic Mask	helm	32	armors,helms,voodoomask
620035155	树妖面具	Woodwraith Bark	helm	36	armors,helms,voodoomask
620035156	葬礼面具	Burial Mask	helm	40	armors,helms,voodoomask
620035157	蛇神面具	Naga Mask	helm	46	armors,helms,voodoomask
620035158	阴界面具	Umbra Mask	helm	51	armors,helms,voodoomask
620036244	尖啸面具	Screaming Mask	helm	56	armors,helms,voodoomask
620036245	灵界面具	Underworld Mask	helm	60	armors,helms,voodoomask
620036246	灵神面具	Manitou Mask	helm	61	armors,helms,voodoomask
620036247	天神面具	Deva	helm	62	armors,helms,voodoomask
620036248	部族面具	Tribal Mask	helm	65	armors,helms,voodoomask
620036249	升灵面罩	Ascended Mask	helm	70	armors,helms,voodoomask
40855418	猎手披风	Hunter Cloak	chestarmor	10	armors,chestarmors,cloak
40855419	罩袍	Shroud	chestarmor	12	armors,chestarmors,cloak
40855420	斗篷	Cape	chestarmor	20	armors,chestarmors,cloak
40855421	战袍	Tabard	chestarmor	28	armors,chestarmors,cloak
1348228990	罩肩	Mantle	chestarmor	32	armors,chestarmors,cloak
40856507	罩衣	Wrap	chestarmor	36	armors,chestarmors,cloak
40856508	潜伏者罩袍	Lurker Shroud	chestarmor	40	armors,chestarmors,cloak
40856509	宽披肩	Talma	chestarmor	46	armors,chestarmors,cloak
40856510	红衣主教外袍	Cardinal	chestarmor	51	armors,chestarmors,cloak
40857596	老兵披风	Veteran Cloak	chestarmor	56	armors,chestarmors,cloak
40857597	死亡之拥	Death Shroud	chestarmor	60	armors,chestarmors,cloak
40857598	追踪者斗篷	Stalker Cape	chestarmor	61	armors,chestarmors,cloak
40857599	恐惧披风	Dread Cloak	chestarmor	62	armors,chestarmors,cloak
40857600	拉基斯守护披风	Rakkisgard Cloak	chestarmor	65	armors,chestarmors,cloak
40857601	升灵披风	Ascended Cloak	chestarmor	70	armors,chestarmors,cloak
4158150821	巫毒娃娃	Wanga Doll	mojo	8	mojo,offhands
4158150822	干枯头骨	Shrunken Head	mojo	12	mojo,offhands
4158150823	笼中骇物	Caged Horror	mojo	20	mojo,offhands
4158150824	毒蛇	Viper	mojo	28	mojo,offhands
4074991113	缩水的食尸鬼头	Shrunken Ghoul Head	mojo	32	mojo,offhands
4158151910	符咒娃娃	Gris-Gris Moppet	mojo	34	mojo,offhands
4158151911	赞扎颅骨	Tzantza	mojo	40	mojo,offhands
4158151912	活体触须	Living Tentacle	mojo	46	mojo,offhands
4158151913	铜头蛇	Copperhead	mojo	51	mojo,offhands
4158152999	柳枝娃娃	Wicker Man	mojo	56	mojo,offhands
4158153000	嗫嚅头骨	Muttering Head	mojo	60	mojo,offhands
4158153001	不可名状之物	Unspeakable Thing	mojo	61	mojo,offhands
4158153002	库拉斯特毒蛇	Kurastian Asp	mojo	62	mojo,offhands
4158153003	颅骨护身符	Skull Talisman	mojo	65	mojo,offhands
4158153004	空洞的凝视	Hollow Gaze	mojo	70	mojo,offhands
2463598859	Mojo_shadowClone	Mojo_shadowClone	mojo	28	mojo,offhands
3227589305	CruShield_shadowClone	CruShield_shadowClone	crusadershield	28	crusadershield,offhands
4176712417	圣教军盾	Crusader Shield	crusadershield	1	crusadershield,offhands
1815806856	圆盾	Buckler	crusadershield	1	crusadershield,offhands
2869746221	Helm_norm_promo_01	Helm_norm_promo_01	helm	1	armors,helm,helms
3875945525	shoulderPads_norm_promo_01	shoulderPads_norm_promo_01	shoulders	1	armors,shoulders
742334711	Gloves_norm_promo_01	Gloves_norm_promo_01	gloves	33	armors,gloves
1111092658	剃头师	The Barber	1h	14	1h,weapons
1111092662	杀猪刀	Pig Sticker	1h	35	1h,weapons
1111092657	索命	Kill	1h	56	1h,weapons
1111092661	血魔法之刃	Blood-Magic Blade	1h	61	1h,weapons
1111092688	巫师之刺	Wizardspike	1h	62	1h,weapons
394684209	月屠	Moon Slayer	1h	19	1h,weapons
394684212	阴界誓约	Umbral Oath	1h	28	1h,weapons
394684210	祭塔之牙	Ziggurat Tooth	1h	43	1h,weapons
394684207	阿内萨兹之锋	Anessazi Edge	1h	53	1h,weapons
394684208	吉德宾	The Gidbinn	1h	61	1h,weapons
394684214	临终之息	Last Breath	1h	62	1h,weapons
608242228	怪物猎手	Monster Hunter	1h	24	1h,weapons
608242190	野木林	Wildwood	1h	39	1h,weapons
608242222	恶魔之舌	Devil Tongue	1h	44	1h,weapons
608242191	祖玛卡里斯的上古骨刃	The Ancient Bonesaber of Zumakalis	1h	47	1h,weapons
608242225	末日使者	Doombringer	1h	58	1h,weapons
608242192	断空	Skycutter	1h	60	1h,weapons
608242230	格里斯沃尔德的杰作	Griswold's Masterpiece	1h	61	1h,weapons
608242195	断离	Sever	1h	61	1h,weapons
608242223	碧蓝怒火	Azurewrath	1h	62	1h,weapons
647377583	北地巨神剑	The Zweihander	2h	19	2h,weapons
647377616	忠贞回忆	Faithful Memory	2h	30	2h,weapons
647377585	灾星	Scourge	2h	38	2h,weapons
647377615	黑卫士	Blackguard	2h	50	2h,weapons
647377588	预言之刃	Blade of Prophecy	2h	56	2h,weapons
647377589	沙漠之王	The Sultan of Blinding Sand	2h	59	2h,weapons
647377614	马西姆斯	Maximus	2h	61	2h,weapons
647377582	祖父	The Grandfather	2h	61	2h,weapons
647377584	好战者	Warmonger	2h	62	2h,weapons
4075920350	根扎尼库	Genzaniku	1h	12	1h,axe,axe1h,weapons
4075920354	桑基斯的烈焰斧	The Burning Axe of Sankis	1h	25	1h,axe,axe1h,weapons
4075920351	霜刃	The Wedge	1h	41	1h,axe,axe1h,weapons
4075920348	裂肉者	Flesh Tearer	1h	49	1h,axe,axe1h,weapons
4075920353	屠夫钩镰	The Butcher's Sickle	1h	59	1h,axe,axe1h,weapons
4075920352	破天	Sky Splitter	1h	61	1h,axe,axe1h,weapons
4115055743	处决者	The Executioner	2h	19	2h,axe,axe2h,weapons
4115055741	屠夫的切肉刀	Butcher's Carver	2h	36	2h,axe,axe2h,weapons
4115055774	梅塞施密特的劫掠者	Messerschmidt's Reaver	2h	57	2h,axe,axe2h,weapons
4115055773	火烙	Fire Brand	2h	61	2h,axe,axe2h,weapons
4115055749	斯科恩巨斧	Skorn	2h	61	2h,axe,axe2h,weapons
713325109	奥丁之子	Odyn Son	1h	26	1h,weapons
713325108	怒火回荡	Echoing Fury	1h	35	1h,weapons
713325112	坚果锤	Nutcracker	1h	41	1h,weapons
713325114	特尔兰登之手	Telranden's Hand	1h	47	1h,weapons
713325110	尼安德特之锤	Neanderthal	1h	52	1h,weapons
713325115	钉咬	Nailbiter	1h	60	1h,weapons
713325116	裂地	Earthshatter	1h	61	1h,weapons
713325141	日光守卫	Sun Keeper	1h	62	1h,weapons
752460503	碎骨锤	Boneshatter	2h	17	2h,weapons
752460501	破劫	Crushbane	2h	29	2h,weapons
752460535	骷髅王之怒	Wrath of the Bone King	2h	35	2h,weapons
752460533	天界卫士	Skywarden	2h	43	2h,weapons
752460506	浩劫	Cataclysm	2h	53	2h,weapons
752460502	阿斯格伦巨锤	Sledge of Athskeleng	2h	59	2h,weapons
752460509	舍费尔之锤	Schaefer's Hammer	2h	62	2h,weapons
1031587767	卡尔蒂姆之誓	Pledge of Caldeum	2h	25	2h,weapons
1031587769	对峙	Standoff	2h	36	2h,weapons
1031587768	诛心	Heart Slaughter	2h	59	2h,weapons
1031587766	警戒者	Vigilance	2h	62	2h,weapons
2314563588	鲸骨利矛	Scrimshaw	1h	18	1h,weapons
2314563585	亚瑞特之律	Arreat's Law	1h	41	1h,weapons
2314563586	三百壮矛	The Three Hundredth Spear	1h	56	1h,weapons
2314563587	天穹信使	Empyrean Messenger	1h	62	1h,weapons
513724850	乌斯刚	Uskang	2h	11	2h,bow,bows,weapons
513724852	远击	Longshot	2h	22	2h,bow,bows,weapons
513724853	渡鸦之翼	The Raven's Wing	2h	35	2h,bow,bows,weapons
513724846	伊崔羽	Etrayu	2h	43	2h,bow,bows,weapons
513724883	啄目弓	Cluckeye	2h	52	2h,bow,bows,weapons
513724878	毒弦	Venomhusk	2h	61	2h,bow,bows,weapons
513724854	风之力	Windforce	2h	62	2h,bow,bows,weapons
1183779307	巴坎弩枪	Bakkan Caster	2h	11	2h,bows,crossbow,weapons
1183779302	恶魔机弩	Demon Machine	2h	26	2h,bows,crossbow,weapons
1183779335	暴雪重炮	Buriza-Do Kyanon	2h	42	2h,bows,crossbow,weapons
1183779305	星脊	Starspine	2h	58	2h,bows,crossbow,weapons
1183779336	吐脓毒弩	Pus Spitter	2h	60	2h,bows,crossbow,weapons
1183779303	地狱刑器	Hellrack	2h	61	2h,bows,crossbow,weapons
