SNO	Code	Name
457661	a1dun_Random_Mushroom_Cluster_C_goblin	
211948	a1dun_Random_Mushroom_Cluster_centerGlow	
210422	a1dun_random_pot_of_gold_A	金罐子
457174	a1dun_random_pot_of_gold_A_goblin	
210418	a1dun_Random_Present_A	可爱的礼物
457390	a1dun_Random_Present_A_goblin	
211853	a1Dun_random_sparkleTrail	
156614	a1dun_Tyrael_jail_Pillar_Coal_Active_Orange	
177561	a1duncave_Nephalem_Stranger_crater	
202277	a1duncave_props_crystal_cluster_A	纯净的宝石原石
105321	a1dunLeor_Interactive_Door_Locked_A	
105323	a1dunLeor_Interactive_Door_Locked_B	
104888	a1dunLeor_Interactive_Wooden_Door_A	木门
77732	A1SaveBlacksmithReward	破损的胸甲
191614	A2_DyingCultistCaveMan	
212884	a2_Global_BannerBase	
297814	a2_Id_All_Book_Of_Cain	凯恩之书
54277	A2_Lanzuul_Spawner_01	
162326	A2_MapVendor_DungeonMap	秘密地下城地图
161712	A2_UniqueVendor_Armorer	防具制造师
113601	A2_UniqueVendor_Collector	收藏家
180272	A2_UniqueVendor_Collector_InTown	收藏家
180807	A2_UniqueVendor_Collector_InTown_01	收藏家
161697	A2_UniqueVendor_Curios	精品商
115928	A2_UniqueVendor_Event_MapVendor	炼金师萨文
161709	A2_UniqueVendor_Fence	黑心商
180274	A2_UniqueVendor_Fence_InTown	黑心商
180817	A2_UniqueVendor_Fence_InTown_01	黑心商
190197	A2_UniqueVendor_FishingMerchant	商人加瓦德
180291	A2_UniqueVendor_InnKeeper	旅馆老板
161710	A2_UniqueVendor_Miner	矿工
180275	A2_UniqueVendor_Miner_InTown	矿工
180800	A2_UniqueVendor_Miner_InTown_01	矿工
180593	A2_UniqueVendor_Peddler_InTown	小贩斯奎特
180783	A2_UniqueVendor_Peddler_InTown_01	小贩
210351	A2_UniqueVendor_SewerMerchant	商人
144328	A2_UniqueVendor_Tinker	莱拉
161711	A2_UniqueVendor_Weaponsmith	武器匠人
59387	A2C2AlcarnusPrisoner	囚犯
193631	A2C2AlcarnusPrisoner2	囚犯
193634	A2C2AlcarnusPrisoner3	
193633	A2C2AlcarnusPrisoner4	囚犯
193635	A2C2AlcarnusPrisoner5	
2917	A2C2CageProp	
51293	A2C2DyingGhostGuy	濒死的死灵法师
2924	A2C2GreedyMiner	发狂的矿工
167507	A2C2GreedyMinerFallenShamanSpawner	
2926	A2C2GreedyMinerFallenSpawner	
2931	A2C2MinerBody	[TBD]
2932	A2C2NecromancerCrystal	死灵法师的水晶
2935	A2C2Poltahr	
2939	A2C2RAdventurer_A	
194049	A2C2RAdventurer_A_1	
194051	A2C2RAdventurer_A_2	
194138	A2C2RAdventurer_A_3	
194142	A2C2RAdventurer_A_4	
2936	A2C2RAdventurerFallenBossSpawner	
2937	A2C2RAdventurerFallenSpawner	
2938	A2C2RAdventurerLeader	铁狼队长
2942	A2C2SharkNecklace	阿莱瑟的吊坠
2947	A2C2Sub240CannibalCellar_caOut_zEventSpecific	
2949	A2C2Sub240GirlTrap_caOut_zEventSpecific	
2953	A2C2WantedPosterItem	
61240	a2dun_Aqd_Act_Barrel_A_01	桶
62386	a2dun_Aqd_Act_Barrel_Storagerack_A_01	
62653	a2dun_Aqd_Act_Barricade_A_01	漂浮的残骸
61652	a2dun_Aqd_Act_Debris_Pile_A_01	
219879	a2dun_Aqd_Act_Lever_FacePuzzle_01	密室控制杆
219880	a2dun_Aqd_Act_Lever_FacePuzzle_02	密室控制杆
61735	a2dun_Aqd_Act_Post_B_02	
61743	a2dun_Aqd_Act_Post_B_02_Base	
83629	a2dun_Aqd_Act_Stone_Slab_A_01	远古水道
61815	a2dun_Aqd_Act_Vase_50Gallon_A_01	花瓶
61640	a2dun_Aqd_Act_Vase_A_01	花瓶
76931	a2dun_Aqd_Act_Waterwheel_Lever_A_01	控制杆
175603	a2dun_Aqd_Act_Waterwheel_Lever_A_01_WaterPuzzle	古老的拉杆
83295	a2dun_Aqd_Act_Waterwheel_Lever_B_01	控制杆
62125	a2dun_Aqd_Act_Wood_Platform_A_01	支撑梁
82796	a2dun_Aqd_Chest	宝箱
82858	a2dun_Aqd_Chest_Rare	精美的宝箱
190708	a2dun_Aqd_Chest_Rare_FacePuzzleSmall	萨达尔的财宝
190524	a2dun_Aqd_Chest_Special_FacePuzzle_Large	坎·达卡布的财宝
260238	a2dun_Aqd_Chest_Special_GreedyMiner	奈非天宝藏
106518	a2dun_Aqd_FloatingBodyParts_Arm_A	
106522	a2dun_Aqd_FloatingBodyParts_HeadTorso_A	
106528	a2dun_Aqd_FloatingBodyParts_Leg_A	
106533	a2dun_Aqd_FloatingBodyParts_Torso_A	
106535	a2dun_Aqd_FloatingBodyParts_TorsoLegs_A	
153836	a2dun_Aqd_GodHead_Door	远古大门
207615	a2dun_Aqd_GodHead_Door_LargePuzzle	远古大门
154413	a2dun_Aqd_GodHead_Door_Symbol_1	
154415	a2dun_Aqd_GodHead_Door_Symbol_2	
154417	a2dun_Aqd_GodHead_Door_Symbol_3	
154419	a2dun_Aqd_GodHead_Door_Symbol_4	
154454	a2dun_Aqd_GodHead_Door_Symbol_Final	
155141	a2dun_Aqd_GodHead_Floor_Client	
154979	a2dun_Aqd_GodHead_Floor_Trigger	
156389	a2dun_Aqd_GodHead_Floor_WaveDistort	
116144	a2dun_Aqd_Grate_Spawner	
114858	a2dun_Aqd_Grate_Spawner_a	
162073	a2dun_Aqd_Grate_Spawner_AlphaCat	
162074	a2dun_Aqd_Grate_Spawner_AlphaCat_LacuniFemale	
62609	a2dun_Aqd_Hanging_Bucket	
2954	a2dun_aqd_hangingLight	
213514	a2dun_Aqd_Jeweler_Altar	坩埚
213704	a2dun_Aqd_Jeweler_Altar_Empty	
231322	a2dun_Aqd_Jewler_Barrel_proxy	
159419	a2dun_Aqd_MainPuzzle_Door	封住的水道大门
121821	a2dun_Aqd_Mummy_Spawner_Muck	恶臭污物
62272	a2dun_Aqd_Rope_Rail_A	
62215	a2dun_Aqd_Sack_A	
131364	a2dun_Aqd_Special_01_Waterfall	
63358	a2dun_Aqd_Well_System_A	
181195	a2dun_Cald_Belial_Acid_Attack	
182205	a2dun_Cald_Belial_Acid_Attack_B	
180254	a2dun_Cald_Belial_Magic_Blocker	
206139	a2dun_Cald_Belial_Room_A_Breakable_Bridge	
168525	a2dun_Cald_Belial_Room_A_Breakable_Center	
168529	a2dun_Cald_Belial_Room_A_Breakable_Center_1st_Hit	
168540	a2dun_Cald_Belial_Room_A_Breakable_Center_2nd_Hit	
170164	a2dun_Cald_Belial_Room_A_Breakable_Center_Client	
170370	a2dun_Cald_Belial_Room_A_Breakable_Lamp	
205754	a2dun_Cald_Belial_Room_A_Breakable_LookA	
169025	a2dun_Cald_Belial_Room_A_Breakable_Main	
169809	a2dun_Cald_Belial_Room_A_Breakable_phys	
206119	a2dun_Cald_Belial_Room_A_Breakable_Rail	
168619	a2dun_Cald_Belial_Room_A_Breakable_Section_1	
168917	a2dun_Cald_Belial_Room_A_Breakable_Section_2	
169036	a2dun_Cald_Belial_Room_A_Breakable_Section_3	
168923	a2dun_Cald_Belial_Room_A_Breakable_Section_4	
168631	a2dun_Cald_Belial_Room_A_Breakable_Section_5	
169044	a2dun_Cald_Belial_Room_A_Breakable_Section_6	
169117	a2dun_Cald_Belial_Room_A_Breakable_Section_7	
168609	a2dun_Cald_Belial_Room_A_Breakable_Section_8	
209817	a2dun_Cald_Belial_Room_A_Rebuild	
209825	a2dun_Cald_Belial_Room_A_Rebuild_Center	
209819	a2dun_Cald_Belial_Room_A_Rebuild_Out	
190236	a2dun_Cald_Belial_Room_Gate_A	卡尔蒂姆大门
238643	a2dun_Cald_Belial_Room_Pedastal	
238645	a2dun_Cald_Belial_Room_Pedastal_FadeOut	
238849	a2dun_Cald_Belial_Room_Pedastal_Glow	
238850	a2dun_Cald_Belial_Room_Pedastal_Glow_Out	
174866	a2dun_Cald_Belial_SummoningMachine_Node_Monster	恶魔召唤器
100003	a2dun_Cald_Bench_Upper_A1_Breakable_Base	
169502	a2dun_Cald_Exit_Gate	
212117	a2dun_Cald_FallingRocks_A	
225672	a2dun_Cald_FallingRocks_B	
188413	a2dun_Cald_Gate_Belial_A	皇宫大门
188505	a2dun_Cald_Gate_Belial_B	
189124	a2dun_Cald_Gate_Belial_C	
190844	a2dun_Cald_Gate_Belial_Destroyable	
97394	a2dun_Cald_Green_Light_Glow	
197018	a2dun_Cave_EggSack__Chest	卵囊
209350	a2dun_Cave_Flooded_RockPile_A	岩石堆
78422	a2dun_Cave_Goatmen_Dropping_Log_Trap	原木陷阱
206559	a2dun_Cave_Larva_Monster	
72148	a2dun_Cave_Lightbeam1	
72284	a2dun_Cave_Lightbeam2	
72282	a2dun_Cave_Lightbeam3	
179729	a2dun_cave_RockPile_A	石堆
114304	a2dun_Cave_SlimeGeyser_A	腐臭虫巢
114706	a2dun_Cave_SlimeGeyser_A_explosion	
114703	a2dun_Cave_SlimeGeyser_A_impact	
213809	a2dun_Cave_SlimeGeyser_A_pool	
114399	a2dun_Cave_SlimeGeyser_A_projectile	
212231	a2dun_Cave_SlimeGeyser_B_01	
218228	a2dun_Cave_SlimeGeyser_C	黏液喷吐者
199191	a2dun_Cave_Worms_Bush_A	
199264	a2dun_Cave_Worms_Bush_B	
199274	a2dun_Cave_Worms_Bush_C	
199277	a2dun_Cave_Worms_Bush_D	
199284	a2dun_Cave_Worms_Bush_E	
199287	a2dun_Cave_Worms_Bush_F	
199597	a2dun_Cave_Worms_Rocks_A	
199664	a2dun_Cave_Worms_Rocks_B	
2955	a2dun_GhoulSpawner01	
2956	a2dun_Orb	召唤法球
70534	a2dun_Spider_Chest	宝箱
112182	a2dun_Spider_Chest_Rare	精美的宝箱
79158	a2dun_Spider_Egg_Spawner	
196945	a2dun_Spider_EggSack__Chest	卵囊
120494	a2dun_Spider_EggSack_A	卵囊
171193	a2dun_Spider_EggSack_Clusters	
171527	a2dun_Spider_EggSack_Clusters_A	
179987	a2dun_Spider_EggSack_Clusters_A_physics	
171998	a2dun_Spider_EggSack_Clusters_B	
179989	a2dun_Spider_EggSack_Clusters_B_physics	
172010	a2dun_Spider_EggSack_Clusters_C	
179998	a2dun_Spider_EggSack_Clusters_C_phyics	
172029	a2dun_Spider_EggSack_Clusters_D	
180009	a2dun_Spider_EggSack_Clusters_D_physics	
210591	a2dun_Spider_EggSack_Clusters_E	
116063	a2dun_Spider_Ground_Spawner	缚茧的受难者
104545	a2dun_Spider_Queen_Web_Door	卡瑞娜
354125	a2dun_Spider_Queen_Web_Door_Adv	
432887	a2dun_Spider_Rock_Patch_A	
90600	a2dun_spider_sac_A	
90602	a2dun_spider_sac_A_flippy	
213490	a2dun_Spider_Venom_Pool	毒液池
2958	a2dun_spider_web_cloth_A	
2959	a2dun_spider_web_cloth_B	
305	a2dun_spider_web_cloth_round_A	
54356	a2dun_Swr_Act_Barrel_A_01	桶
56598	a2dun_Swr_Act_Column_A_02	
53628	a2dun_Swr_Act_Iron_Railing_A_01	
54272	a2dun_Swr_Act_Iron_Railing_A_02	
57106	a2dun_Swr_Act_Post_A_01	
54394	a2dun_Swr_Act_Vase_A_02	花瓶
2960	a2dun_Swr_Arch_Spawner	
54739	a2dun_Swr_Arch_Spawner_CryptChild	
55005	a2dun_Swr_Arch_Spawner_CryptChild_01	
209018	a2dun_Swr_Arch_Spawner_Server	
219223	a2dun_Swr_Arch_Spawner_ZombieCrawler_01	
2965	a2dun_Swr_Breakable_Wall_A	trOut_Highlands_ChiefGoatmenMummyRack_A
197642	a2dun_Swr_Chest	宝箱
183306	a2dun_Swr_Chest_A_01_GhostHuntersEvent	古老的箱子
197655	a2dun_Swr_Chest_Rare	精美的宝箱
2966	a2dun_Swr_Cloth_A_01	
57006	a2dun_Swr_CoalPile	
198414	a2dun_Swr_CoalPile_Large	
139617	a2dun_Swr_CoalPile_Small	
116161	a2dun_SWR_Grate_Spawner	
114642	a2dun_Swr_Grate_Spawner_a	
115375	a2dun_Swr_Grate_Spawner_a_Lightbeam	
56796	a2dun_Swr_Lightbeam1	
58152	a2dun_Swr_Rat_Nest	鼠窝
211648	a2dun_Swr_Tent_A	
56682	a2dun_Swr_Torch	
130405	a2dun_Swr_TriuneTeleportationMachine	
156328	a2dun_Zolt_black_soulstone	黑暗灵魂石
191922	a2dun_Zolt_black_soulstone_noFX	
213820	a2dun_Zolt_Blood_Container	佐敦·库勒之血
213859	a2dun_Zolt_Blood_Container_02	佐敦·库勒之血
119685	a2dun_Zolt_Body_Container	佐敦·库勒的第二块精魄
192861	a2dun_zolt_BonePile	骨堆
222326	a2dun_Zolt_Book_Holder_A	古书卷
73396	a2dun_Zolt_Books_Full_Wall_A	古书卷
73607	a2dun_Zolt_Books_Full_Wall_B	
69975	a2dun_Zolt_Books_Half_Wall_B	
68635	a2dun_Zolt_Books_Half_Wall_Base	书柜
162079	a2dun_Zolt_Breakable_BarrelContainer	古老的瓦罐
197182	a2dun_Zolt_Breakable_BarrelContainer_Sand	古老的瓦罐
2972	a2dun_Zolt_Breakable_Pillar_A	
223413	a2dun_Zolt_Breakable_Pillar_A_Client	
223426	a2dun_Zolt_Breakable_Pillar_A_Container	
2975	a2dun_Zolt_Centerpiece_A	暗影闸门
214548	a2dun_Zolt_Centerpiece_A_Proxy	
74065	a2dun_zolt_centerpiece_centerGlow	
73907	a2dun_zolt_centerpiece_orb	
74172	a2dun_zolt_centerpiece_proxy	
74184	a2dun_zolt_centerpieceFX2	
2976	a2dun_Zolt_Chest	宝箱
101500	a2dun_Zolt_Chest_Rare	精美的宝箱
68299	a2dun_Zolt_Column_Breakable_C	
68337	a2dun_Zolt_Column_Breakable_C_Core	
68328	a2dun_Zolt_Column_Breakable_C_Emit	
71543	a2dun_Zolt_Desk_Scrolls_A	卷轴
2979	a2dun_Zolt_FloatingLights	
73898	a2dun_Zolt_FloatingLights_Crack_Glow	
74752	a2dun_Zolt_FloatingLights_Glow	
180476	a2dun_Zolt_Floor_Rune	
180480	a2dun_Zolt_Floor_Rune_Emit	
75287	a2dun_zolt_glowsphere	
202779	a2dun_zolt_glowsphere_soft	
213907	a2dun_Zolt_Head_Container	佐敦·库勒的第一块精魄
187486	a2dun_Zolt_ibstone_A_PortalRoulette	古老装置
432885	a2dun_Zolt_ibstone_A_PortalRoulette_Mini	古老装置
181879	a2dun_Zolt_ibstone_Orb_Sand	
2990	a2dun_Zolt_Idol	
2991	a2dun_zolt_LargeSandObject	
2992	a2dun_zolt_LargeSandTrigger	
2994	a2dun_zolt_mediumSandObject	
2995	a2dun_zolt_mediumSandTrigger	
307	a2dun_Zolt_Pedestal	雷格纳人偶
2998	a2dun_Zolt_Pedestal_Emitter	
185132	a2dun_Zolt_Portal_Boneyard	
3001	a2dun_Zolt_Portal_Down	
209377	a2dun_Zolt_Portal_Sand_FlowingDown	
209378	a2dun_Zolt_Portal_Sand_FlowingUp	
199581	a2dun_Zolt_Portal_SandOnly	
230751	a2dun_Zolt_Portal_TimedEvent	
186325	a2dun_Zolt_Portal_Zolt	
3000	a2dun_Zolt_PortalA_caOut_DungeonPortals	
195470	a2dun_Zolt_PortalSwitch_ibstone_A	古老装置
3007	a2dun_Zolt_Random_Breakable_Arch_A	
3008	a2dun_Zolt_Random_Breakable_Arch_A_Sand	
3009	a2dun_Zolt_Random_Breakable_Bridge	
3010	a2dun_Zolt_Random_Breakable_Bridge_Emitter	
3011	a2dun_Zolt_Random_Breakable_Corner	
3012	a2dun_Zolt_Random_Breakable_Corner_Sand	
3013	a2dun_Zolt_Random_Breakable_Edge_Large	
3014	a2dun_Zolt_Random_Breakable_HalfWall_A	
3015	a2dun_Zolt_Random_Breakable_HalfWall_A_Sand_Core	
3016	a2dun_Zolt_Random_Breakable_Statue	
308	a2dun_Zolt_Random_Breakable_Statue_Sand	
197514	a2dun_Zolt_Random_Breakable_Table_Sand	仪祭桌
3018	a2dun_Zolt_Random_Chest	宝箱
3023	a2dun_Zolt_Random_FallingRocks_art_B	
3026	a2dun_Zolt_Random_FallingRocks_C	
220339	a2dun_Zolt_Random_FallingRocks_C_Client	
3028	a2dun_Zolt_Random_GoldChest	精美的宝箱
3029	a2dun_zolt_random_Lightbeam1	
3033	a2dun_Zolt_Random_Portal_Dis_Fingers_Emit	
3034	a2dun_Zolt_Random_Portal_Dis_Fingers_Sand	
3032	a2dun_Zolt_Random_Portal_Disabled_Fingers	
220337	a2dun_Zolt_Random_Portal_Timed	
3035	a2dun_Zolt_RockDrop	摇摇欲坠的天花板
309	a2dun_Zolt_Round_Chest_Riser	
3036	a2dun_Zolt_Round_Chest_Riser_StandIn	
3037	a2dun_Zolt_Round_Spawner	奥术构造体
3038	a2dun_Zolt_Round_Spawner_Portal	
3039	a2dun_Zolt_Round_Spawner_Portal_Black	
3040	a2dun_Zolt_Round_Spawner_SandSwirl	
3041	a2dun_Zolt_Round_Spawner_SandSwirl_Reverse	
172810	a2dun_Zolt_Sand_Monster_Activate	
3048	a2dun_Zolt_Sand_Wall	门
73260	a2dun_Zolt_SandBridgeBase	沙桥
165415	a2dun_Zolt_SandBridgeBase_BossFight	
3047	a2dun_Zolt_SandSpout	
196363	a2dun_zolt_SandSpout_Trigger	
